Ti(t) = ,(((xi*t)+592270.09)/((22.151*t)+1754.99))-273,,,,,,,,
,,,,,,,,,
xi = ,8066.01,8127.156,8067.5724,8141.8872,8187.636,8141.8872,8067.5724,8127.156,8067.5724
Ai,A1,A2,A3,A4,A5,A6,A7,A8,A9
t (sec),T1(t) (Deg C),T2(t) (Deg C),T3(t) (Deg C),T4(t) (Deg C),T5(t) (Deg C),T6(t) (Deg C),T7(t) (Deg C),T8(t) (Deg C),T9(t) (Deg C)
1,64.81005559,64.84446254,64.81093475,64.85275181,64.87849473,64.85275181,64.81093475,64.84446254,64.81093475
2,65.13417166,65.2021384,65.13590835,65.21851284,65.26936484,65.21851284,65.13590835,65.2021384,65.13590835
3,65.45040443,65.55111469,65.45297778,65.57537765,65.65072802,65.57537765,65.45297778,65.55111469,65.45297778
4,65.75903805,65.89170501,65.76242795,65.92366692,66.02292696,65.92366692,65.76242795,65.89170501,65.76242795
5,66.06034319,66.22420802,66.06453025,66.26368609,66.38628805,66.26368609,66.06453025,66.22420802,66.06453025
6,66.35457779,66.54890841,66.35954332,66.59572625,66.74112239,66.59572625,66.35954332,66.54890841,66.35954332
7,66.64198787,66.86607764,66.6477138,66.920065,67.08772664,66.920065,66.6477138,66.86607764,66.6477138
8,66.92280812,67.17597472,66.92927702,67.23696723,67.42638384,67.23696723,66.92927702,67.17597472,66.92927702
9,67.19726262,67.47884692,67.20445765,67.54668578,67.75736422,67.54668578,67.20445765,67.47884692,67.20445765
10,67.46556539,67.77493043,67.47347028,67.84946218,68.08092588,67.84946218,67.47347028,67.77493043,67.47347028
11,67.72792098,68.06445097,67.73651998,68.14552726,68.39731549,68.14552726,67.73651998,68.06445097,67.73651998
12,67.98452496,68.34762436,67.99380286,68.43510171,68.7067689,68.43510171,67.99380286,68.34762436,67.99380286
13,68.2355644,68.62465705,68.24550648,68.71839665,69.00951172,68.71839665,68.24550648,68.62465705,68.24550648
14,68.48121838,68.89574665,68.49181039,68.99561417,69.3057599,68.99561417,68.49181039,68.89574665,68.49181039
15,68.72165835,69.16108238,68.73288649,69.26694774,69.59572022,69.26694774,68.73288649,69.16108238,68.73288649
16,68.95704857,69.42084549,68.96889949,69.53258273,69.87959075,69.53258273,68.96889949,69.42084549,68.96889949
17,69.18754647,69.67520972,69.20000722,69.79269679,70.15756135,69.79269679,69.20000722,69.67520972,69.20000722
18,69.41330301,69.92434165,69.42636105,70.04746029,70.42981407,70.04746029,69.42636105,69.92434165,69.42636105
19,69.63446299,70.16840108,69.64810615,70.29703662,70.69652353,70.29703662,69.64810615,70.16840108,69.64810615
20,69.85116537,70.40754137,69.86538187,70.54158261,70.95785733,70.54158261,69.86538187,70.40754137,69.86538187
21,70.06354359,70.64190975,70.07832198,70.78124884,71.21397637,70.78124884,70.07832198,70.64190975,70.07832198
22,70.27172579,70.87164766,70.28705497,71.01617991,71.4650352,71.01617991,70.28705497,70.87164766,70.28705497
23,70.47583511,71.09689096,70.4917043,71.24651478,71.7111823,71.24651478,70.4917043,71.09689096,70.4917043
24,70.67598991,71.31777029,70.69238866,71.47238703,71.95256042,71.47238703,70.69238866,71.31777029,70.69238866
25,70.87230402,71.53441125,70.88922216,71.69392511,72.18930684,71.69392511,70.88922216,71.53441125,70.88922216
